0,0
50,0
100,0
150,0
200,0
250,0
300,0
350,0
400,0
450,0
500,0
550,0
600,1
650,1
700,1
750,1
800,1
850,0
900,1
950,0
1000,1
1050,1
1100,1
1150,1
1200,0
1250,1
1300,0
1350,0
1400,1
1450,1
1500,1
1550,1
1600,0
1650,1
1700,0
1750,1
1800,1
1850,1
1900,1
1950,1
2000,0
2050,1
2100,1
2150,1
2200,1
2250,1
2300,0
2350,0
2400,0
2450,1
2500,1
2550,1
2600,1
2650,0
2700,0
2750,0
2800,1
2850,1
2900,1
2950,1
3000,0
3050,0
3100,0
3150,1
3200,1
3250,1
3300,1
3350,0
3400,0
3450,1
3500,1
3550,1
3600,1
3650,1
3700,0
3750,0
3800,1
3850,1
3900,1
3950,1
4000,1
4050,1
4100,0
4150,1
4200,0
4250,1
4300,1
4350,1
4400,1
4450,0
4500,1
4550,0
4600,1
4650,1
4700,1
4750,1
4800,0
4850,1
4900,0
4950,1
5000,1
5050,1
5100,1
5150,0
5200,0
5250,0
5300,1
5350,1
5400,1
5450,1
5500,0
5550,1
5600,0
5650,0
5700,1
5750,1
5800,1
5850,1
5900,0
5950,0
6000,0
6050,1
6100,1
6150,1
6200,1
6250,0
6300,1
6350,0
6400,1
6450,1
6500,1
6550,1
6600,1
6650,0
6700,0
6750,1
6800,1
6850,1
6900,1
6950,0
7000,0
7050,0
7100,1
7150,1
7200,1
7250,1
7300,0
7350,0
7400,0
7450,1
7500,1
7550,1
7600,1
7650,0
7700,0
7750,0
7800,1
7850,1
7900,1
7950,1
8000,0
8050,0
8100,0
8150,1
8200,1
8250,1
8300,1
8350,0
8400,0
8450,0
8500,1
8550,1
8600,1
8650,1
8700,0
8750,0
8800,0
8850,1
8900,1
8950,1
9000,0
9050,1
9100,0
9150,0
9200,1
9250,1
9300,1
9350,1
9400,0
9450,1
9500,0
9550,1
9600,1
9650,1
9700,1
9750,0
9800,1
9850,0
9900,1
9950,1
